Image1,Image2,Score1,Score2,Label
AM126.jpg,AM284.jpg,1.7666666666666666,1.7166666666666666,similar
CF728.jpg,CF14.jpg,4.316666666666666,4.4,similar
AM1602.jpg,AF1115.jpg,4.033333333333333,4.016666666666667,similar
AM291.jpg,CM409.jpg,2.583333333333333,2.55,similar
CM634.jpg,AM1836.jpg,4.016666666666667,4.066666666666666,similar
AF1397.jpg,CF546.jpg,3.583333333333333,3.6,similar
CM440.jpg,CF352.jpg,2.083333333333333,2.1,similar
AF1986.jpg,AF1959.jpg,1.0166666666666666,1.0333333333333334,similar
AF1761.jpg,AF545.jpg,3.883333333333333,3.883333333333333,similar
CM78.jpg,AF575.jpg,2.9833333333333334,2.9166666666666665,similar
AM126.jpg,AF177.jpg,1.7666666666666666,1.7333333333333334,similar
AM1349.jpg,CM285.jpg,2.7,2.65,similar
CF443.jpg,AM1007.jpg,2.316666666666667,2.316666666666667,similar
AF1996.jpg,AF941.jpg,1.6,1.5333333333333334,similar
CF697.jpg,CF344.jpg,3.3833333333333333,3.316666666666667,similar
AM1180.jpg,AF687.jpg,2.75,2.7333333333333334,similar
AF1287.jpg,AF1153.jpg,3.3,3.2666666666666666,similar
AF1150.jpg,AM1335.jpg,2.9,2.833333333333333,similar
AM10.jpg,AF1890.jpg,1.1666666666666667,1.15,similar
AM1458.jpg,AF1619.jpg,1.6666666666666667,1.6333333333333333,similar
AM1145.jpg,AM1930.jpg,4.25,4.3,similar
AF1715.jpg,AM1439.jpg,2.583333333333333,2.5166666666666666,similar
AF728.jpg,AF922.jpg,1.6166666666666667,1.6833333333333331,similar
AM1305.jpg,AM1827.jpg,2.75,2.7666666666666666,similar
AM41.jpg,AF1692.jpg,4.266666666666667,4.25,similar
AF332.jpg,AM664.jpg,2.433333333333333,2.4833333333333334,similar
AM82.jpg,AF1870.jpg,2.9166666666666665,2.9833333333333334,similar
AF1398.jpg,AF1935.jpg,1.3666666666666667,1.4,similar
AF1076.jpg,AF756.jpg,1.4,1.3166666666666669,similar
AF1157.jpg,AM1798.jpg,3.0166666666666666,3.0166666666666666,similar
CF653.jpg,AM1690.jpg,4.416666666666667,4.433333333333334,similar
AF1098.jpg,AM870.jpg,1.55,1.6,similar
AF946.jpg,AF1720.jpg,3.5166666666666666,3.566666666666667,similar
AF1965.jpg,AM169.jpg,1.75,1.7666666666666666,similar
AF1835.jpg,AF1596.jpg,3.033333333333333,3.066666666666667,similar
AF1944.jpg,AF1153.jpg,3.216666666666667,3.2666666666666666,similar
AF1820.jpg,AF917.jpg,1.4166666666666667,1.4333333333333331,similar
AF1509.jpg,AF1475.jpg,1.7,1.6833333333333331,similar
AF941.jpg,AM74.jpg,1.5333333333333334,1.6,similar
AM61.jpg,AM282.jpg,1.6666666666666667,1.6666666666666667,similar
AF1320.jpg,CF586.jpg,4.166666666666667,4.183333333333334,similar
AM1493.jpg,AM442.jpg,2.6,2.6,similar
AM1732.jpg,AF1244.jpg,3.966666666666667,3.9166666666666665,similar
CM709.jpg,CF706.jpg,4.25,4.3,similar
AM1071.jpg,AM1415.jpg,2.1166666666666667,2.183333333333333,similar
AM1192.jpg,AM556.jpg,2.8833333333333333,2.9,similar
CM440.jpg,AM792.jpg,2.083333333333333,2.1,similar
