img,score
AF388.jpg,1.600000
AM74.jpg,1.600000
AF1539.jpg,1.616667
AF688.jpg,1.616667
AF694.jpg,1.616667
AF728.jpg,1.616667
AM1904.jpg,1.633333
CF129.jpg,1.633333
AF89.jpg,1.650000
AF1768.jpg,1.666667
AF1771.jpg,1.666667
AF520.jpg,1.666667
AM1363.jpg,1.666667
AM1458.jpg,1.666667
AM61.jpg,1.666667
AF1475.jpg,1.683333
AF435.jpg,1.683333
AF922.jpg,1.683333
AF1509.jpg,1.700000
AF287.jpg,1.700000
AM1032.jpg,1.716667
AM1472.jpg,1.716667
AM173.jpg,1.716667
AM284.jpg,1.716667
AM465.jpg,1.716667
CM427.jpg,1.716667
AF314.jpg,1.733333
AF846.jpg,1.733333
AM236.jpg,1.733333
CF251.jpg,1.733333
AF1965.jpg,1.750000
AM1818.jpg,1.750000
AM622.jpg,1.750000
CF348.jpg,1.750000
AF25.jpg,1.766667
AF587.jpg,1.766667
AM126.jpg,1.766667
AM169.jpg,1.766667
AM195.jpg,1.766667
AF143.jpg,1.783333
AF255.jpg,1.783333
AF63.jpg,1.783333
AM735.jpg,1.783333
AM944.jpg,1.783333
AF1651.jpg,1.800000
AM707.jpg,1.800000
CM29.jpg,1.800000
AF1321.jpg,1.816667
AF1968.jpg,1.816667
AF322.jpg,1.816667
AM1419.jpg,1.816667
CM152.jpg,1.816667
AF1084.jpg,1.833333
AF1118.jpg,1.833333
AF248.jpg,1.833333
AF305.jpg,1.833333
AF401.jpg,1.833333
AF413.jpg,1.833333
AM1054.jpg,1.833333
AM1533.jpg,1.833333
AM977.jpg,1.833333
CF162.jpg,1.833333
AF1859.jpg,1.850000
AF39.jpg,1.850000
AF475.jpg,1.850000
AF536.jpg,1.850000
AF700.jpg,1.850000
AM1509.jpg,1.850000
AM1521.jpg,1.850000
AM70.jpg,1.850000
CF496.jpg,1.850000
AF1025.jpg,1.866667
AF1108.jpg,1.866667
AF1931.jpg,1.866667
AF610.jpg,1.866667
AM1014.jpg,1.866667
AM1480.jpg,1.866667
AM497.jpg,1.866667
AM499.jpg,1.866667
CF477.jpg,1.866667
CM323.jpg,1.866667
AF107.jpg,1.883333
AF1853.jpg,1.883333
AF1967.jpg,1.883333
AF546.jpg,1.883333
AM389.jpg,1.883333
AM636.jpg,1.883333
CF118.jpg,1.883333
CF91.jpg,1.883333
CM248.jpg,1.883333
AF821.jpg,1.900000
AM115.jpg,1.900000
AM1173.jpg,1.900000
AM194.jpg,1.900000
AM20.jpg,1.900000
AM73.jpg,1.900000
CF138.jpg,1.900000
AF148.jpg,1.916667
AF706.jpg,1.916667
AM1002.jpg,1.916667
AM1558.jpg,1.916667
AM286.jpg,1.916667
AM473.jpg,1.916667
AM821.jpg,1.916667
AM838.jpg,1.916667
AM976.jpg,1.916667
CF165.jpg,1.916667
CF314.jpg,1.916667
CF517.jpg,1.916667
AF1971.jpg,1.933333
AF267.jpg,1.933333
AF304.jpg,1.933333
AF365.jpg,1.933333
AM1242.jpg,1.933333
AM271.jpg,1.933333
AM542.jpg,1.933333
AM549.jpg,1.933333
AM688.jpg,1.933333
CF281.jpg,1.933333
CM34.jpg,1.933333
AF161.jpg,1.950000
AF197.jpg,1.950000
AF557.jpg,1.950000
AM1176.jpg,1.950000
AM1231.jpg,1.950000
AM296.jpg,1.950000
AM418.jpg,1.950000
AM85.jpg,1.950000
CF76.jpg,1.950000
AF1121.jpg,1.966667
AF1845.jpg,1.966667
AF1988.jpg,1.966667
AF939.jpg,1.966667
AM1089.jpg,1.966667
AM1132.jpg,1.966667
AM1195.jpg,1.966667
AM26.jpg,1.966667
AM536.jpg,1.966667
AM584.jpg,1.966667
AM708.jpg,1.966667
AF1143.jpg,1.983333
AF116.jpg,1.983333
AF160.jpg,1.983333
AF1824.jpg,1.983333
AF232.jpg,1.983333
AM1022.jpg,1.983333
AM1036.jpg,1.983333
AM52.jpg,1.983333
AM701.jpg,1.983333
AM739.jpg,1.983333
AM795.jpg,1.983333
CF117.jpg,1.983333
CF32.jpg,1.983333
AF1037.jpg,2.000000
AF1522.jpg,2.000000
AF259.jpg,2.000000
AF396.jpg,2.000000
AF443.jpg,2.000000
AF5.jpg,2.000000
AF66.jpg,2.000000
AF98.jpg,2.000000
AM1033.jpg,2.000000
AM1045.jpg,2.000000
AM1087.jpg,2.000000
AM1168.jpg,2.000000
AM1177.jpg,2.000000
AM1354.jpg,2.000000
AM1523.jpg,2.000000
AM1528.jpg,2.000000
AM164.jpg,2.000000
AM184.jpg,2.000000
AM599.jpg,2.000000
AM607.jpg,2.000000
AM817.jpg,2.000000
AM971.jpg,2.000000
CM138.jpg,2.000000
AF1145.jpg,2.016667
AF1230.jpg,2.016667
AF1276.jpg,2.016667
AF1991.jpg,2.016667
AF318.jpg,2.016667
AF362.jpg,2.016667
AF616.jpg,2.016667
AF800.jpg,2.016667
AF887.jpg,2.016667
AM1059.jpg,2.016667
AM1063.jpg,2.016667
AM1068.jpg,2.016667
AM1125.jpg,2.016667
AM237.jpg,2.016667
AM518.jpg,2.016667
AM551.jpg,2.016667
AM934.jpg,2.016667
AM935.jpg,2.016667
AM947.jpg,2.016667
CF135.jpg,2.016667
CF203.jpg,2.016667
CM296.jpg,2.016667
CM326.jpg,2.016667
CM367.jpg,2.016667
AF1089.jpg,2.033333
AF123.jpg,2.033333
AF1306.jpg,2.033333
AF1383.jpg,2.033333
AF179.jpg,2.033333
AF1790.jpg,2.033333
AF363.jpg,2.033333
AF384.jpg,2.033333
AF717.jpg,2.033333
AM1130.jpg,2.033333
AM1152.jpg,2.033333
AM303.jpg,2.033333
AM483.jpg,2.033333
AM495.jpg,2.033333
AF190.jpg,2.050000
AF436.jpg,2.050000
AM1031.jpg,2.050000
AM1272.jpg,2.050000
AM1282.jpg,2.050000
AM448.jpg,2.050000
AM957.jpg,2.050000
AM996.jpg,2.050000
CF145.jpg,2.050000
CF280.jpg,2.050000
CF511.jpg,2.050000
CM61.jpg,2.050000
AF1161.jpg,2.066667
AF707.jpg,2.066667
AF761.jpg,2.066667
AF990.jpg,2.066667
AM1012.jpg,2.066667
AM1035.jpg,2.066667
AM1060.jpg,2.066667
AM1373.jpg,2.066667
AM1387.jpg,2.066667
AM1535.jpg,2.066667
AM254.jpg,2.066667
AM348.jpg,2.066667
AM441.jpg,2.066667
AM488.jpg,2.066667
CF245.jpg,2.066667
CF389.jpg,2.066667
CF87.jpg,2.066667
CF95.jpg,2.066667
AF1019.jpg,2.083333
AF1625.jpg,2.083333
AF174.jpg,2.083333
AF1778.jpg,2.083333
AF1796.jpg,2.083333
AF331.jpg,2.083333
AF359.jpg,2.083333
AF459.jpg,2.083333
AF59.jpg,2.083333
AF613.jpg,2.083333
AM1107.jpg,2.083333
AM1265.jpg,2.083333
AM1426.jpg,2.083333
AM1453.jpg,2.083333
AM211.jpg,2.083333
AM443.jpg,2.083333
AM923.jpg,2.083333
AM959.jpg,2.083333
CM32.jpg,2.083333
CM440.jpg,2.083333
CM505.jpg,2.083333
AF16.jpg,2.100000
AF808.jpg,2.100000
AF907.jpg,2.100000
AM1211.jpg,2.100000
AM1247.jpg,2.100000
AM1334.jpg,2.100000
AM1462.jpg,2.100000
AM1767.jpg,2.100000
AM1908.jpg,2.100000
AM225.jpg,2.100000
AM387.jpg,2.100000
AM450.jpg,2.100000
AM555.jpg,2.100000
AM634.jpg,2.100000
AM792.jpg,2.100000
AM812.jpg,2.100000
AM832.jpg,2.100000
AM872.jpg,2.100000
AM889.jpg,2.100000
AM890.jpg,2.100000
AM893.jpg,2.100000
AM910.jpg,2.100000
AM991.jpg,2.100000
CF108.jpg,2.100000
CF345.jpg,2.100000
CF352.jpg,2.100000
CM153.jpg,2.100000
CM464.jpg,2.100000
CM596.jpg,2.100000
AF162.jpg,2.116667
AF176.jpg,2.116667
AF1975.jpg,2.116667
AF210.jpg,2.116667
AF377.jpg,2.116667
AF382.jpg,2.116667
AF680.jpg,2.116667
AF81.jpg,2.116667
AM1071.jpg,2.116667
AM1106.jpg,2.116667
AM1124.jpg,2.116667
AM1460.jpg,2.116667
AM1557.jpg,2.116667
AM163.jpg,2.116667
AM242.jpg,2.116667
CF236.jpg,2.116667
CF313.jpg,2.116667
CF464.jpg,2.116667
CF491.jpg,2.116667
CF53.jpg,2.116667
CM194.jpg,2.116667
CM568.jpg,2.116667
CM623.jpg,2.116667
AF1028.jpg,2.133333
AF1223.jpg,2.133333
AF139.jpg,2.133333
AF153.jpg,2.133333
AF193.jpg,2.133333
AF219.jpg,2.133333
AF226.jpg,2.133333
AF261.jpg,2.133333
AF276.jpg,2.133333
AF295.jpg,2.133333
AF337.jpg,2.133333
AF399.jpg,2.133333
AF52.jpg,2.133333
AF578.jpg,2.133333
AM1040.jpg,2.133333
AM1065.jpg,2.133333
AM1067.jpg,2.133333
AM1082.jpg,2.133333
AM1178.jpg,2.133333
AM1207.jpg,2.133333
AM1278.jpg,2.133333
AM159.jpg,2.133333
AM1778.jpg,2.133333
AM220.jpg,2.133333
AM344.jpg,2.133333
AM372.jpg,2.133333
AM468.jpg,2.133333
AM573.jpg,2.133333
AM717.jpg,2.133333
AM93.jpg,2.133333
CF100.jpg,2.133333
CF206.jpg,2.133333
CF487.jpg,2.133333
CM295.jpg,2.133333
CM301.jpg,2.133333
